FOLDER,ELEMENT,ATTRIBUTE,,,,,,,,,
Generic SEL351 Relay,Default,zratio,None,,,,,,,,
Default,Phase Instantaneous Overcurrent,zratio,None,,,,,,,,
Default,Neutral Ground Instantaneous Overcurrent,zratio,None,,,,,,,,
Default,Residual Ground Instantaneous Overcurren,zratio,None,,,,,,,,
Default,Negative-Sequence Instantaneous Overcurr,zratio,None,,,,,,,,
Default,Phase Time-Overcurrent,zratio,None,,,,,,,,
Default,Neutral Ground Time-Overcurrent,zratio,None,,,,,,,,
Default,Residual Ground Time-Overcurrent,zratio,None,,,,,,,,
Default,Negative-Sequence Time-Overcurrent,zratio,None,,,,,,,,
Default,Trip/Comm.-Assisted Trip Logic,zratio,None,,,,,,,,
Default,Close/Reclose Logic,zratio,None,,,,,,,,
Default,Sel Dir,Zm,None,,,,,,,,
Default,Sel Dir,Z2R,None,,,,,,,,
Default,Sel Dir,Z2F,None,,,,,,,,
Default,Sel Dir,Z0R,None,,,,,,,,
Default,Sel Dir,Z0F,None,,,,,,,,
Default,Sel Dir,Z0,None,,,,,,,,
Generic SEL351 Relay,Default,vtsec,None,,,,,,,,
Default,Phase Instantaneous Overcurrent,vtsec,None,,,,,,,,
Default,Neutral Ground Instantaneous Overcurrent,vtsec,None,,,,,,,,
Default,Residual Ground Instantaneous Overcurren,vtsec,None,,,,,,,,
Default,Negative-Sequence Instantaneous Overcurr,vtsec,None,,,,,,,,
Default,Phase Time-Overcurrent,vtsec,None,,,,,,,,
Default,Neutral Ground Time-Overcurrent,vtsec,None,,,,,,,,
Default,Residual Ground Time-Overcurrent,vtsec,None,,,,,,,,
Default,Negative-Sequence Time-Overcurrent,vtsec,None,,,,,,,,
Default,Trip/Comm.-Assisted Trip Logic,vtsec,None,,,,,,,,
Default,Close/Reclose Logic,vtsec,None,,,,,,,,
Generic SEL351 Relay,Default,vtprim,None,,,,,,,,
Default,Phase Instantaneous Overcurrent,vtprim,None,,,,,,,,
Default,Neutral Ground Instantaneous Overcurrent,vtprim,None,,,,,,,,
Default,Residual Ground Instantaneous Overcurren,vtprim,None,,,,,,,,
Default,Negative-Sequence Instantaneous Overcurr,vtprim,None,,,,,,,,
Default,Phase Time-Overcurrent,vtprim,None,,,,,,,,
Default,Neutral Ground Time-Overcurrent,vtprim,None,,,,,,,,
Default,Residual Ground Time-Overcurrent,vtprim,None,,,,,,,,
Default,Negative-Sequence Time-Overcurrent,vtprim,None,,,,,,,,
Default,Trip/Comm.-Assisted Trip Logic,vtprim,None,,,,,,,,
Default,Close/Reclose Logic,vtprim,None,,,,,,,,
Default,MeasU-I,Unom,None,,,,,,,,
Default,Meas Delta,Unom,None,,,,,,,,
